Line,Mag,x,y
L10160,56498.1523839764,582923.8,6855371
L10160,56558.3134111058,582924.8,6855406
L10160,56614.6744382353,582926.6,6855440.5
L10160,56660.2054653647,582926.8,6855474.5
L10160,56696.9494822631,582927,6855508.5
L10160,56725.8835134667,582927.2,6855542.5
L10160,56747.7675303651,582928.2,6855576
L10160,56763.6015615686,582928.5,6855610.5
L10160,56774.455578467,582929.5,6855644.5
L10160,56782.9196096706,582929.7,6855679
L10160,56791.3563159306,582929.9,6855713.5
L10160,56800.0530364957,582930.2,6855747.5
L10160,56807.8597427557,582929.7,6855782
L10160,56816.0364490157,582929.2,6855816.5
L10160,56826.5231552756,582927.9,6855851
L10160,56837.4698758407,582927.4,6855885
L10160,56845.6388136986,582926.9,6855919.5
L10160,56850.0377372514,582926.4,6855954
L10160,56851.3366751093,582925.2,6855989
L10160,56850.5056129672,582923.9,6856023
L10160,56848.6445508251,582922.7,6856057
L10160,56846.773488683,582922.2,6856091
L10160,56845.6240573239,582921.6,6856125.5
L10160,56844.4446259649,582921.1,6856160
L10160,56841.455208911,582920.6,6856195
L10160,56835.395777552,582920.1,6856228.5
L10160,56826.1163461929,582919.6,6856262
L10160,56813.7769148339,582919.9,6856296
L10160,56799.7884848329,582920.1,6856330.5
L10160,56785.1500548319,582919.6,6856365
L10160,56771.3416248309,582919.1,6856399
L10160,56760.5131805248,582919.3,6856433.5
L10160,56753.2347505238,582918.8,6856468
L10160,56750.1963205228,582918.3,6856502
L10160,56753.3082195395,582917.1,6856535.5
L10160,56763.5301328612,582916.6,6856570
L10160,56778.7420318779,582916.1,6856604
L10160,56795.7839451996,582916.3,6856638.5
L10160,56812.4558442163,582916.6,6856673
L10160,56827.4177432329,582916.8,6856707.5
L10160,56839.5193561473,582917.8,6856742.5
L10160,56848.6509690616,582918,6856776.5
L10160,56854.022581976,582917.5,6856810.5
L10160,56855.1841948903,582917.8,6856844.5
L10160,56852.3158078047,582918.8,6856878.5
L10160,56846.207420719,582919,6856913
L10160,56838.0882325469,582920,6856947.5
L10160,56828.8690300697,582920.2,6856982
L10160,56819.8998275925,582920.4,6857016
L10160,56811.6706251153,582920.7,6857050.5
L10160,56805.4114369433,582920.2,6857085
L10160,56801.9822344661,582920.4,6857119
L10160,56801.2018732746,582920.7,6857153.5
L10160,56801.8715120831,582920.9,6857188.5
L10160,56804.0311508916,582921.2,6857223.5
L10160,56807.3908040052,582920.7,6857257.5
L10160,56811.1604428138,582920.1,6857291
L10160,56814.8200816223,582919.6,6857325.5
L10160,56817.8983328346,582919.1,6857359.5
L10160,56820.086584047,582919.4,6857394
L10160,56820.5648352594,582918.9,6857428.5
L10160,56819.0130864718,582919.1,6857463.5
L10160,56816.1013376842,582920.1,6857498
L10160,56812.7795888966,582919.6,6857532
L10160,56809.326352377,582919.1,6857566
L10160,56805.7031158575,582919.3,6857600
L10160,56802.0598793379,582919.6,6857634.5
L10160,56798.1566428184,582919.8,6857669
L10160,56794.4934062988,582920.1,6857703.5
L10160,56791.2001697793,582920.3,6857737.5
L10160,56789.1155313585,582920.6,6857772
L10160,56789.8908929377,582920.8,6857806
L10160,56796.3462545169,582921.8,6857840.5
L10160,56812.4016160961,582922,6857875
L10160,56839.9069776753,582922.2,6857909
L10160,56871.7223392545,582922.5,6857943.5
L10160,56892.826499204,582923.5,6857978
L10160,56895.0806448485,582923.8,6858012
L10160,56883.9748047981,582924,6858046.5
L10160,56868.7489504425,582924.2,6858082
L10160,56854.2331103921,582924.5,6858117.5
L10160,56841.8772560365,582924.7,6858152
L10160,56832.0703574076,582924.2,6858186.5
L10160,56823.8734444736,582924.4,6858220
